page_id,difficulty,batch,url,current_status,next_action,notes
real_easy_001,easy,01,https://stake.lido.fi/,approved_with_corrections,finalize_row,"Finalized: sparse staking page, kept no_author/no_date/no_sources/missing_faq_schema."
real_easy_002,easy,01,https://lido.fi/ethereum-staking,approved_with_corrections,finalize_row,"Finalized: kept weak_title_tag, weak_meta_description, and no_headers."
real_easy_003,easy,01,https://docs.lido.fi/,approved_with_corrections,finalize_row,"Finalized: documentation page, kept only no_author."
real_easy_004,easy,01,https://ethereum.org/en/what-is-ethereum/,approved_clean,finalize_row,"Finalized: explainer page, removed how-to schema false positive."
real_easy_005,easy,01,https://ethereum.org/staking/,approved_with_corrections,finalize_row,"Finalized: broad staking overview, kept only no_author."
real_easy_006,easy,01,https://ethereum.org/staking/pools/,approved_with_corrections,finalize_row,"Finalized: kept weak_meta_description and missing_faq_schema, added no_author."
real_easy_007,easy,01,https://ethereum.org/staking/withdrawals/,approved_clean,finalize_row,"Strong extraction and no obvious parser problems."
real_easy_008,easy,01,https://www.stakingrewards.com/earn/ethereum-2-0/,replace_candidate,replace_url,"Insufficient useful content extracted; replace with a cleaner page."
real_easy_009,easy,01,https://ethereum.org/en/developers/docs/consensus-mechanisms/pos/,approved_clean,finalize_row,"Replacement drafts cleanly with strong structure."
real_easy_010,easy,01,https://www.gemini.com/cryptopedia/ethereum-staking-explained,replace_candidate,replace_url,"Fetched content looks like a generic hub instead of the intended article."
real_easy_011,easy,02,https://docs.lido.fi/,approved_with_corrections,finalize_row,"Finalized: documentation page, kept only no_author."
real_easy_012,easy,02,https://docs.lido.fi/contracts/lido/,approved_with_corrections,finalize_row,"Finalized: kept weak_meta_description and no_author."
real_easy_013,easy,02,https://ethereum.org/en/developers/docs/nodes-and-clients/,approved_clean,finalize_row,"Drafted cleanly with strong structure."
real_easy_014,easy,02,https://ethereum.org/en/developers/docs/consensus-mechanisms/pos/,approved_clean,finalize_row,"Drafted cleanly with strong structure."
real_easy_015,easy,02,https://ethereum.org/en/developers/docs/consensus-mechanisms/pow/,approved_clean,finalize_row,"Drafted cleanly with strong structure."
